ID,sp_id,Order,Family,Genus,Species,AcceptedFamily_COL,AcceptedGenus_COL,AcceptedName_COL,Species_ph_Fritz,Species_ph_Upham,Notes,tax_id,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantOther,Vend_Vect_Fish_Unk,Vend_Vect_Fish_Unk_Ins_Scav,Fruit_Nect_Seed_Plant,Locomotion,BM_g,Diet_class,Diet_cat
295,M_260,Primates,Atelidae,Lagothrix,Lagothrix poeppigii,Atelidae,Lagothrix,Lagothrix lagothricha,Lagothrix_poeppigii,Lagothrix_poeppigii,ET,39927,0,0,0,0,0,0,70,10,0,20,0,0,100,Arboreal,6231,Herbivore,Frugivore
297,M_261,Primates,Lemuridae,Lemur,Lemur catta,Lemuridae,Lemur,Lemur catta,Lemur_catta,Lemur_catta,ET,11496,0,0,0,0,0,0,80,0,0,20,0,0,100,Semiarboreal,2900,Herbivore,Frugivore
298,M_262,Primates,Callitrichidae,Leontopithecus,Leontopithecus caissara,Callitrichidae,Leontopithecus,Leontopithecus caissara,Leontopithecus_caissara,Leontopithecus_caissara,ET,11503,50,0,0,0,0,0,50,0,0,0,0,50,50,Arboreal,572,Omnivore,OmnCarnIns
299,M_263,Primates,Callitrichidae,Leontopithecus,Leontopithecus chrysomelas,Callitrichidae,Leontopithecus,Leontopithecus chrysomelas,Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,ET,40643,50,0,0,0,0,0,50,0,0,0,0,50,50,Arboreal,572.8,Omnivore,OmnCarnIns
300,M_264,Primates,Callitrichidae,Leontopithecus,Leontopithecus chrysopygus,Callitrichidae,Leontopithecus,Leontopithecus chrysopygus,Leontopithecus_chrysopygus,Leontopithecus_chrysopygus,ET,11505,50,0,0,0,0,0,50,0,0,0,0,50,50,Arboreal,700.0032,Omnivore,OmnCarnIns
301,M_265,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,Callitrichidae,Leontopithecus,Leontopithecus rosalia,Leontopithecus_rosalia,Leontopithecus_rosalia,ET,11506,50,0,0,0,0,0,50,0,0,0,0,50,50,Arboreal,535.5006,Omnivore,OmnCarnIns
303,M_267,Primates,Lepilemuridae,Lepilemur,Lepilemur ankaranensis,Lepilemuridae,Lepilemur,Lepilemur ankaranensis,Lepilemur_ankaranensis,Lepilemur_ankaranensis,ET,136731,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,700.8931,Herbivore,Herbivore
304,M_268,Primates,Lepilemuridae,Lepilemur,Lepilemur edwardsi,Lepilemuridae,Lepilemur,Lepilemur edwardsi,Lepilemur_edwardsi,Lepilemur_edwardsi,ET,11617,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,700,Herbivore,Herbivore
305,M_615,Primates,Lepilemuridae,Lepilemur,Lepilemur grewcockorum,Lepilemuridae,Lepilemur,Lepilemur grewcockorum,NA,Lepilemur_grewcockorum,ET,136771,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,700.4,Herbivore,Herbivore
306,M_269,Primates,Lepilemuridae,Lepilemur,Lepilemur microdon,Lepilemuridae,Lepilemur,Lepilemur microdon,Lepilemur_microdon,Lepilemur_microdon,ET,11619,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,900,Herbivore,Herbivore
